Exp,ID,Block,trial,trial_type,cueLoc,stimLoc,locDist,FixDur,SOA,CTI,stim,response,correct,RTms,prolific_id,xPixels,yPixels,dpi
SaccadeExp7_font12,17660,No,1,exp,5,2,close,600,650,400,P,P,TRUE,392.298999999999,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,2,exp,5,4,close,200,300,50,P,P,TRUE,372.380999999994,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,3,exp,5,2,close,1400,650,400,R,R,TRUE,1116.19099999999,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,4,exp,5,1,close,600,650,400,B,B,TRUE,1047.99900000001,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,5,exp,5,2,close,1000,650,400,B,B,TRUE,502.487000000023,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,6,exp,5,4,close,1000,300,50,B,B,TRUE,384.939000000013,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,7,exp,5,1,close,1800,300,50,R,R,TRUE,655.085000000021,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,8,exp,5,2,close,1800,650,400,B,B,TRUE,891.588999999978,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,9,exp,5,3,close,1800,300,50,P,P,TRUE,715.755000000005,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,10,exp,5,2,close,1400,650,400,B,B,TRUE,710.579000000027,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,11,exp,5,4,close,1000,650,400,R,R,TRUE,513.053000000014,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,12,exp,5,1,close,200,650,400,R,R,TRUE,475.820999999996,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,13,exp,5,3,close,1400,650,400,P,P,TRUE,411.635000000009,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,14,exp,5,3,close,600,300,50,P,P,TRUE,903.066999999981,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,15,exp,5,2,close,600,300,50,R,R,TRUE,788.518999999971,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,16,exp,5,1,close,1400,300,50,B,B,TRUE,482.664999999979,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,17,exp,5,4,close,200,650,400,P,P,TRUE,444.765000000014,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,18,exp,5,1,close,1800,650,400,R,R,TRUE,657.927000000025,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,19,exp,5,3,close,600,650,400,P,P,TRUE,622.382999999973,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,20,exp,5,3,close,1000,650,400,P,P,TRUE,576.186999999976,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,21,exp,5,1,close,1400,650,400,P,P,TRUE,489.338999999978,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,22,exp,5,3,close,1400,300,50,R,R,TRUE,1029.80699999997,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,23,exp,5,4,close,1800,300,50,P,P,TRUE,485.978999999992,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,24,exp,5,2,close,200,300,50,P,P,TRUE,460.065000000002,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,25,exp,5,2,close,200,650,400,B,B,TRUE,353.496999999974,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,26,exp,5,2,close,1800,650,400,R,R,TRUE,622.989000000001,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,27,exp,5,2,close,1000,650,400,P,P,TRUE,431.793000000005,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,28,exp,5,3,close,1800,300,50,B,B,TRUE,1087.94099999999,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,No,29,exp,5,4,close,1000,300,50,P,P,TRUE,399.082999999984,5fb079128b511d47995da086,1920,1080,1
